id,title,description,availability,condition,price,sale_price,link,image_link,brand,item_group_id,color,size,material,product_type,additional_image_link,mpn,gender,age_group
"257365a1-318f-4a53-9c9d-c5ed130f1cbc","Orang and Beige Line  Cotton Shirt Bite (2 Mtr)","KHADI COTTON – SHIRT BIT * 100% Pure Khadi Cotton * 2 Metres Length * 58 Inch Width * Suitable for Half-Sleeve & Full-Sleeve Shirts * Lightweight & Breathable * Natural Khadi Texture & Finish *Pre-wash Before Stitching to account for natural shrinkage","in stock","new","540.00 INR","486.00 INR","https://khadivasthra.com/product/orang-and-beige-line-cotton-shirt-bite-2-mtr/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1789646278487.png","Khadi Vasthra","","","","100% Cotton","Shirt Bit","","","unisex","adult"
"27a5759f-5a51-413e-8e39-dba4e96bec35","Red and Golden Veethikara Set-Mundu(Women's Wear)","Red and Golden Veethikara Set-Mundu","in stock","new","1260.00 INR","1134.00 INR","https://khadivasthra.com/product/red-and-golden-veethikara-set-mundu-women-s-wear/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1774638653278.jpg","Khadi Vasthra","","","","Poly-Cotton"," Set-Mundu","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1774638657601.jpg","","female","adult"
"2d50b05a-10a2-43bc-8565-9c29b33983eb","Peach and Golden Border Offwhite 4.15 Mtre Double Dhothi","Pure Cotton Dhothi perfect for Highwaist , Tall Men","in stock","new","1485.00 INR","1188.00 INR","https://khadivasthra.com/product/peach-and-golden-border-offwhite-4-15-mtre-double-dhothi/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1784388787525.png","Khadi Vasthra","","","","100% Cotton","4.5m Double Mundu","","","unisex","adult"
"2eef3e37-f972-4a61-ab0f-cf01fb9a14ef","Blue and Pastel Blue Kara Offwhite Double Mundu","Blue and Pastel Blue Kara Offwhite Double Mundu","in stock","new","1485.00 INR","1337.00 INR","https://khadivasthra.com/product/blue-and-pastel-blue-kara-offwhite-double-mundu/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1776683808574.jpg","Khadi Vasthra","","","","100% Cotton","Offwhite Double Mundu(4 Mtr)","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1776683822222.jpg","","unisex","adult"
"323b7aa7-f28f-45f4-9216-79c063b73d08","Blue Green Khadi Cotton Shirt Bite (2Mtr)","KHADI COTTON – SHIRT BIT * 100% Pure Khadi Cotton * 2 Metres Length * 58 Inch Width * Suitable for Half-Sleeve & Full-Sleeve Shirts * Lightweight & Breathable * Natural Khadi Texture & Finish *Pre-wash Before Stitching to account for natural shrinkage","in stock","new","540.00 INR","486.00 INR","https://khadivasthra.com/product/blue-green-khadi-cotton-shirt-bite-2mtr/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1789642725473.png","Khadi Vasthra","","","","100% Cotton","Shirt Bit","","","unisex","adult"
"337d1135-5682-4f52-9bf7-6310a4896864","Blue Kambikara Set-Mundu","Blue Kambikara Set-Mundu","in stock","new","1010.00 INR","859.00 INR","https://khadivasthra.com/product/blue-kambikara-set-mundu/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1774717463116.jpg","Khadi Vasthra","","","","Poly-Cotton"," Set-Mundu","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1774717467963.jpg","","female","adult"
"37825c12-5318-4c62-8e50-08e3fc113c8e","Khadi Cotton Shirt Bit","*100% Pure Khadi Cotton *2 Metres Length | 58"" Width * Ideal for Half-Sleeve & Full-Sleeve Shirts *Breathable, Comfortable & Naturally Textured *Khadi cotton may have **natural shrinkage after washing *Pre-wash & soak in water before stitching** for better size accuracy * A natural fabric with an *authentic Khadi character*","in stock","new","540.00 INR","486.00 INR","https://khadivasthra.com/product/khadi-cotton-shirt-bite/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1789478863709.png","Khadi Vasthra","","","","100% Cotton","Shirt Bit","","","unisex","adult"
"378c0900-2c16-4cfd-9d15-125aa860313e","Yellow and Grey Chuttikara Double white Mundu","Yellow and Grey Chuttikara Double white Mundu","out of stock","new","1600.00 INR","1440.00 INR","https://khadivasthra.com/product/yellow-and-grey-chuttikara-double-white-mundu/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1776000718280.jpg","Khadi Vasthra","","","","100% Cotton","White Double Mundu(4Mtre)","","","unisex","adult"
"38233371-4ae5-4758-97b8-7b3bb1d19bfa","Golden Border With White Line Border White Double Mundu","Golden Border With White Line Border White Double Mundu","in stock","new","1185.00 INR","948.00 INR","https://khadivasthra.com/product/golden-border-with-white-line-border-white-double-mundu/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1786188172881.png","Khadi Vasthra","","","","100% Cotton","White Double Mundu(4Mtre)","","","unisex","adult"
"65c62da4-cfa1-4e4c-b9a1-a579962bfe6e","Green Linen Shirt - Green / M","Green Linen Shirt","in stock","new","1299.00 INR","1104.00 INR","https://khadivasthra.com/product/green-linen-shirt/?color=Green&size=M","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/green-linen-shirt-color/1775056605743.png","Khadi Vasthra","38ee7e69-6b14-41c9-9146-94b15d6afec1","Green","M","100% Linen"," Shirts","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1774782585511.png,https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1774782591848.png","KV-GREEN--GRE-M","unisex","adult"
